Customer_ID,First_name,Last_name,Street,City,State,Zip,Phone
1,Ernst,Skrine,59099 Pepper Wood Street,Anchorage,Alaska,64935,907-982-3207
2,Robby,Junes,47 Dorton Drive,Sacramento,California,37458,916-171-7348
3,Ianthe,Darley,04 Tennessee Pass,North Las Vegas,Nevada,21023,702-854-8598
4,Marketa,Corbally,97 6th Court,Lakewood,Washington,61127,253-113-8012
5,Adolphe,Knok,096 Larry Terrace,Santa Fe,New Mexico,59032,505-727-8996
6,Dyanna,Salman,51 Alpine Circle,Grand Junction,Colorado,35311,970-951-9349
7,Trudy,Oxenham,15 Dayton Place,Gulfport,Mississippi,26135,228-516-1910
8,Ulises,Kinzel,582 Milwaukee Terrace,Washington,District of Columbia,67216,202-329-3519
9,Corey,Bruck,5889 Village Avenue,Salt Lake City,Utah,61767,801-165-4997
10,Rebbecca,Droogan,4654 Pond Parkway,Fort Wayne,Indiana,54056,260-268-3397
11,Thatch,Nurdin,8166 Sullivan Way,Raleigh,North Carolina,78986,919-383-9185
12,Woodrow,Darracott,260 Atwood Terrace,New Orleans,Louisiana,67525,504-215-7950
13,Liesa,Cockill,4943 Judy Alley,Milwaukee,Wisconsin,29602,414-220-7692
14,Victoria,Doche,5573 Northfield Road,Amarillo,Texas,57909,806-636-1838
15,Gram,Keller,3910 Sachtjen Parkway,Monticello,Minnesota,14923,763-283-9349
16,Marlyn,Cowell,118 4th Place,Yakima,Washington,95406,509-129-7980
17,Tedi,Riseborough,3698 Namekagon Way,El Paso,Texas,10978,915-683-1895
18,Flinn,Haselgrove,3 Havey Drive,Pensacola,Florida,76523,850-800-8504
19,Ozzie,Gronauer,3466 Katie Terrace,Cleveland,Ohio,34922,216-229-0502
20,Ofilia,Snooks,28 Oak Valley Plaza,Santa Fe,New Mexico,79548,505-100-6872
21,Rosalie,Vanelli,6007 Twin Pines Terrace,Aiken,South Carolina,18633,803-435-8365
22,Tobit,Walak,623 Oak Crossing,Milwaukee,Wisconsin,75096,262-869-4161
23,Yankee,Cullingford,4172 Lyons Road,Tacoma,Washington,23335,253-753-9659
24,Tome,Loseke,37 Eliot Junction,Seattle,Washington,28436,425-472-9511
25,Vinni,Ewins,50 Bultman Pass,Washington,District of Columbia,68597,202-262-3084
26,Dimitry,Rainard,7 Northland Circle,Corpus Christi,Texas,73238,361-572-2587
27,Giffie,Asplen,3 Roxbury Center,New York City,New York,51722,212-334-4241
28,Liam,Barabisch,62191 Porter Park,Davenport,Iowa,17090,563-890-9291
29,Latashia,Clitherow,3440 Magdeline Hill,Los Angeles,California,23068,213-974-6396
30,Channa,Elphey,87 Straubel Terrace,Peoria,Illinois,80403,309-762-7332
31,Thayne,Boni,7958 Memorial Pass,Biloxi,Mississippi,16932,228-840-7829
32,Stormy,Matijasevic,782 Shasta Junction,Melbourne,Florida,33845,321-129-3351
33,Gerri,Benian,9 Springview Parkway,Texarkana,Texas,59759,903-919-3427
34,Rouvin,Sargint,373 Ryan Plaza,Alexandria,Virginia,67168,571-107-3103
35,Constancia,Shilstone,755 Holmberg Court,Arlington,Virginia,34226,571-135-0708
36,Myrlene,Barns,0 Stang Drive,North Little Rock,Arkansas,40270,501-873-5175
37,Aeriela,OCurrine,41 Sycamore Alley,Shreveport,Louisiana,33984,318-833-6876
38,Isiahi,Mcimmie,51787 Commercial Court,Dayton,Ohio,18515,937-468-0056
39,Timoteo,Mc Carroll,72161 Hoepker Avenue,Warren,Michigan,54579,810-420-6172
40,Walsh,McLuckie,5 Bunker Hill Junction,Baton Rouge,Louisiana,90715,225-134-1356
41,Harper,Larn,99880 Farmco Place,Fort Lauderdale,Florida,51660,954-134-4989
42,Lora,Northin,85313 Red Cloud Terrace,San Diego,California,17918,949-633-1906
43,Kimberlee,Beale,765 Bluestem Court,Billings,Montana,18812,406-966-0191
44,Teddy,Blundin,43 Duke Crossing,Beaumont,Texas,81965,936-367-9795
45,Juditha,Beall,653 Fairfield Street,Atlanta,Georgia,88295,770-153-1410
46,Ralina,Rockingham,54 Fallview Street,Young America,Minnesota,93318,952-649-4722
47,Billy,Kobus,43930 Anderson Park,Kansas City,Missouri,26022,816-625-6649
48,Jannelle,Scarratt,126 Comanche Junction,Portland,Maine,64102,207-584-8677
49,Zacharie,Coping,337 Eastwood Way,Washington,District of Columbia,34480,202-202-8781
50,Malcolm,Goodread,81 Trailsway Park,Washington,District of Columbia,81046,202-725-5867
51,Grace,Esch,53 Heffernan Terrace,Baton Rouge,Louisiana,82113,225-264-0333
52,Glynnis,Raubenheimers,02603 Clyde Gallagher Hill,Columbus,Ohio,51079,614-775-5272
53,Suzi,Took,24383 Corscot Street,Indianapolis,Indiana,63246,317-451-3470
54,Nola,Wildes,91075 Nova Way,Sacramento,California,67538,916-383-4554
