,,,,,,,,
,,,,,,,,
Sales table,,,,,,,,
Sale_ID,Date,Dealer,,,,,,
1,6/2/2016,1,,,,,,
2,1/26/2016,2,,,,,,
3,2/9/2016,3,,,,,,
4,8/26/2015,4,,,,,,
5,11/18/2018,5,,,,,,
6,1/18/2017,6,,,,,,
7,9/3/2018,7,,,,,,
8,9/10/2016,8,,,,,,
9,2/12/2017,9,,,,,,
10,10/25/2017,10,,,,,,
11,12/18/2018,11,,,,,,
12,1/18/2019,12,,,,,,
13,7/20/2018,13,,,,,,
14,7/5/2018,14,,,,,,
15,4/20/2016,15,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Vehicle table,,,,,,,,
Vin,Model,Brand,Color,Year,,,,
1G4HA5EM2AU632383,Horizon,Bentley,Maroon,1978,,,,
5UXZV8C59BL628301,Cayenne,Audi,Green,2005,,,,
WAULC58E94A148940,Land Cruiser,SEAT,Maroon,1993,,,,
WVWED7AJ9AW923828,Fleetwood,SEAT,Yellow,1992,,,,
1B3CC1FB6AN997417,Cougar,Bugatti,Mauv,1969,,,,
4T1BK1EB0FU753897,CLS-Class,Audi,Orange,2012,,,,
WAUHF98PX6A881572,Clubman,Audi,Blue,2012,,,,
2G61N5S37E9790603,Vantage,Bentley,Teal,2009,,,,
WVGEF9BP1ED981180,Aventador,Lamborghini,Violet,2006,,,,
SCBBP9ZA5DC636733,Cherokee,SEAT,Turquoise,2009,,,,
1FTWW3B59AE573175,Yukon,Audi,Teal,2002,,,,
1GYFC262X9R394695,J,Bugatti,Blue,1994,,,,
4A31K2DF2CE658240,R8,Audi,Khaki,1998,,,,
WP1AA2A22EL046217,IS,Bugatti,Red,2005,,,,
WAURD68D21A707471,Club Wagon,SEAT,Blue,1998,,,,
NERND68D2325BENJ3,S5,Audi,Orange,2012,,,,
,,,,,,,,
,,,,,,,,
Customer table,,,,,,,,
Customer_ID,First_name,Last_name,Email,Gender,Address,City,State,Zip
1,Abran,Prebble,aprebble0@blogtalkradio.com,Male,929 Linden Parkway,Pinellas Park,Florida,34665
2,Neysa,Gilliat,ngilliat1@who.int,Female,0 Shelley Parkway,Norwalk,Connecticut,6859
3,Lilah,Daddow,ldaddow2@nih.gov,Female,6 Pleasure Point,Salem,Oregon,97306
4,Sylas,MacSorley,smacsorley3@shinystat.com,Male,2832 Boyd Terrace,Hollywood,Florida,33023
5,Olivero,Mosby,omosby4@cpanel.net,Male,3 Briar Crest Center,Albany,New York,12262
6,Ashlan,Parminter,aparminter5@webmd.com,Female,142 Elmside Junction,Lakeland,Florida,33805
7,Zorah,Streader,zstreader6@upenn.edu,Female,57 Dayton Parkway,Milwaukee,Wisconsin,53205
8,Madeline,Malloy,mmalloy7@kickstarter.com,Female,40 Mandrake Center,Cumming,Georgia,30130
9,Reeva,Duckers,rduckers8@google.com,Female,4419 Dapin Crossing,Fresno,California,93773
10,Patty,Faircliff,pfaircliff9@vk.com,Male,34 Independence Junction,Port Washington,New York,11054
11,Chrissy,Springle,cspringlea@mtv.com,Male,10 Melvin Place,Fresno,California,93750
12,Kristien,Burchess,kburchessb@stumbleupon.com,Female,68561 Lakeland Hill,Tallahassee,Florida,32304
13,Romona,Chapelhow,rchapelhowc@yolasite.com,Female,39 Bowman Court,Newport News,Virginia,23605
14,Andrey,Cassie,acassied@dell.com,Male,0 International Terrace,Miami,Florida,33169
15,Rutter,Crosfield,rcrosfielde@theguardian.com,Male,683 Bay Road,Pinellas Park,Florida,34665
,,,,,,,,
Individual table,,,,,,,,
Customer_ID,Annual_income,,,,,,,
1,"$30,000",,,,,,,
2,"$40,000",,,,,,,
3,"$80,000",,,,,,,
4,"$1,000,000",,,,,,,
5,"$50,000",,,,,,,
6,"$76,000",,,,,,,
7,"$44,000",,,,,,,
8,"$55,000",,,,,,,
,,,,,,,,
Company table,,,,,,,,
Customer_ID,Company_name,,,,,,,
9,"Effertz-Wisozk
",,,,,,,
10,Collins Group,,,,,,,
11,Lehner LLC,,,,,,,
12,Turner,,,,,,,
13,Zeimann Inc,,,,,,,
14,Richmond LLC,,,,,,,
15,XD Solutions,,,,,,,
,,,,,,,,
,,,,,,,,
Dealer table,,,,,,,,
Dealer_ID,Manufacturers,Inventory_ID,Dealership,Address,City,State,Zip,
1,Dodge,1,Ludgrove,0990 West Pass,Pinellas Park,Florida,34665,
2,Isuzu,2,Gookey,183 Londonderry Lane,Norwalk,Connecticut,6859,
3,Suzuki,3,Maciaszek,6212 Paget Lane,Salem,Oregon,97306,
4,Pontiac,4,Daintier,22743 Kensington Crossing,Hollywood,Florida,33023,
5,Ford,5,Amaya,9058 Thompson Court,Albany,New York,12262,
6,Honda,6,Aulds,87081 Ramsey Hill,Lakeland,Florida,33805,
7,Ford,7,Meeus,402 Scott Hill,Milwaukee,Wisconsin,53205,
8,BMW,8,Addyman,2 Gateway Parkway,Cumming,Georgia,30130,
9,Dodge,9,Kigelman,2 Lerdahl Avenue,Fresno,California,93773,
10,Chevrolet,10,Durdy,110 Hintze Avenue,Port Washington,New York,11054,
11,Mitsubishi,11,Coughlin,2379 Kenwood Plaza,Fresno,California,93750,
12,Mitsubishi,12,Hixley,22361 Packers Street,Tallahassee,Florida,32304,
13,Plymouth,13,Dohmer,5424 Utah Circle,Newport News,Virginia,23605,
14,Buick,14,Klyn,3491 Artisan Pass,Miami,Florida,33169,
15,Chevrolet,15,McClune,6 Laurel Plaza,Pinellas Park,Florida,34665,
,,,,,,,,
,,,,,,,,
Inventory table,,,,,,,,
Vin,ID,Sold,,,,,,
1G4HA5EM2AU632383,1,yes,,,,,,
5UXZV8C59BL628301,1,yes,,,,,,
WAULC58E94A148940,2,yes,,,,,,
WVWED7AJ9AW923828,3,yes,,,,,,
1B3CC1FB6AN997417,4,yes,,,,,,
4T1BK1EB0FU753897,1,yes,,,,,,
WAUHF98PX6A881572,6,yes,,,,,,
2G61N5S37E9790603,5,yes,,,,,,
WVGEF9BP1ED981180,10,yes,,,,,,
SCBBP9ZA5DC636733,11,yes,,,,,,
1FTWW3B59AE573175,13,yes,,,,,,
1GYFC262X9R394695,6,yes,,,,,,
4A31K2DF2CE658240,8,yes,,,,,,
WP1AA2A22EL046217,9,yes,,,,,,
WAURD68D21A707471,4,yes,,,,,,
NERND68D2325BENJ3,7,no,,,,,,
,,,,,,,,
Sold table,,,,,,,,
Vin,Sale_ID,,,,,,,
1G4HA5EM2AU632383,1,,,,,,,
5UXZV8C59BL628301,2,,,,,,,
WAULC58E94A148940,3,,,,,,,
WVWED7AJ9AW923828,4,,,,,,,
